IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
SOCIETE ACTIF ASSISTANCE COORDINATION TECHNIQUE INGENIERIE FINANCIERE;AACT;4,91282E+13;La Rochelle; 11 RUE DU FOUR A CHAUX  17700 SURGERES   ;0;17/09/2009 00:00
Société Air France;SOAF;4,20495E+13;Bobigny; 45 RUE DE PARIS  95747 ROISSY CDG  CEDEX ;0;10/10/2016 00:00
Société anonyme de la raffinerie des Antilles;SARA;692014962;Fort de France; ZONE INDUSTRIELLE LA LEZARDE 436 97292 LE LAMENTIN  2 ;0;10/04/2014 00:00
Société briochine de services en informatique;SBSI;3,94786E+13;Saint-Brieuc; 22 RUE SAINT BENOIT  22000 SAINT BRIEUC   ;0;11/05/2019 00:00
SOCIETE CARTEL;CRTL;3,79911E+13; ; 3 SQUARE RENE CASSIN  35700 RENNES   ;0;09/01/2008 00:00
Société commerciale de télécommunication - SCT;SOCT;4,12391E+13;Bobigny;ZAC DE NOZAL CHAUDRON 17 RUE DE LA METALLURGIE  93210 LA PLAINE ST DENIS   ;1;05/03/2009 00:00
Société coopérative d'aménagement numérique icaunaise;SCAN; ;W891004767; 16 BIS RUE PASTEUR  89400 MIGENNES   ;0;03/02/2016 00:00
SOCIETE COOPERATIVE DE PRODUCTION ANONYME A CAPITAL VARIABLE SCOPELEC;SCEC;7,84176E+13;TOULOUSE;ZI DE LA POMME RUE GAY LUSSAC BP 79 31250 REVEL   ;0;06/03/2013 00:00
Société Corse de distribution;SOCD;3,98658E+13;Ajaccio;RN 193   20600 FURIANI   ;0;06/03/2020 00:00
Société d'aménagement de la station de la Plagne;SLPG;7,622E+12;Chambéry;LA PLAGNE PLAGNE CENTRE   73210 MACOT-LA-PLAGNE   ;0;27/11/2015 00:00
Société d'applications télématiques de l'Ouest;SAPO;3,8134E+13;Nantes;PARC DACTIVITES DE LA BOUVRE 18 RUE GUTENBERG  44340 BOUGUENAIS   ;0;20/03/2018 00:00
Société de développement pour l'accès à l'infrastructure fibre;SDIF;8,80604E+13;Nanterre; 13-15 AVENUE DU MARECHAL JUIN  92360 MEUDON LA FORET   ;0;06/02/2020 00:00
SOCIETE DE DIFFUSION VIDEOTEX PLURIMEDIA;SDVP;3,40572E+13;STRASBOURG; 15 RUE DE LA NUEE BLEUE  67000 STRASBOURG   ;0;14/03/2013 00:00
